Artista,Álbum,Año de lanzamiento,Canción,URL Artista,URL Canción
Eminem,Revival,2017,Walk On Water (con Beyoncé),https://cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500.jpg,https://hips.hearstapps.com/cosmopolitan/assets/16/17/1461967005-spl1271986-001.jpg
Eminem,Revival,2017,Believe,https://cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500.jpg,https://quotefancy.com/media/wallpaper/thumb/4189188-Eminem-Quote-I-believe-people-can-change-but-only-for-the-worse.jpg
Eminem,Revival,2017,River (con Ed Sheeran),https://cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500.jpg,https://historico.crazyminds.es/wp-content/uploads/eminem-y-ed-sheeran-juntos-en-el.jpg
Eminem,Revival,2017,Untouchable,https://cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500.jpg,https://media.pitchfork.com/photos/5a2ab7534166de2d9c718ef6/master/pass/eminem600x600bb.jpg
Eminem,Revival,2017,Like Home (con Alicia Keys),https://cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500.jpg,https://www.rap-up.com/wp-content/uploads/2022/04/alicia-keys-eminem-studio-feat-1280x720.jpg
Eminem,Revival,2017,Framed,https://cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS3LYkPjymkItsXZ1KftvsACkYiDRV1Fj99jYrbHS7ozw&s
Eminem,Revival,2017,Nowhere Fast (con Kehlani),https://cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQSHpFrYQioFRVwhFQEgc5ukrnJigT-ISiJsq3ndQmpzA&s
Eminem,Revival,2017,Heat,https://cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500.jpg,https://media.npr.org/assets/img/2018/09/10/gettyimages-930683002-e22148de4463d0355aae231314536d45e463e707.jpg?s=800&c=85&f=jpeg
Eminem,Revival,2017,Offended,https://cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500.jpg,https://i.pinimg.com/564x/6c/38/8d/6c388d0c0e800d03093ca7ca41099340.jpg
Eminem,Revival,2017,Need Me (con Pink),https://cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500.jpg,https://cdn01.justjared.com/wp-content/uploads/headlines/2017/12/eminem-pink-need-me-stream-lyrics.jpg
Eminem,Kamikaze,2018,The Ringer,https://cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500.jpg,https://i.ytimg.com/vi/ACNgFW50EbU/maxresdefault.jpg
Eminem,Kamikaze,2018,Greatest,https://cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500.jpg,https://i.discogs.com/r52BcjMDbmKzRhg02hkHxwScuqXnB1xYd9MGgieASNY/rs:fit/g:sm/q:90/h:535/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEzNDc2/ODk5LTE1NTQ5NDIz/MzItMjM2OC5qcGVn.jpeg
Eminem,Kamikaze,2018,Lucky You (con Joyner Lucas),https://cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500.jpg,https://image.europafm.com/clipping/cmsimages01/2018/09/16/9BFDA777-3CFF-4831-8DC6-01E61368D6BE/58.jpg
Eminem,Kamikaze,2018,Fall,https://cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500.jpg,https://i.ytimg.com/vi/MfTbHITdhEI/maxresdefault.jpg
Eminem,Kamikaze,2018,Venom,https://cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500.jpg,https://pbs.twimg.com/media/FA4htBfWEAQKFbW.jpg:large
Eminem,Music To Be Murdered By,2020,Alfred (Intro),https://cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500.jpg,https://i.ytimg.com/vi/7s_P4KJTQK4/sddefault.jpg
Eminem,Music To Be Murdered By,2020,Black Magic (con Skylar Grey),https://cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500.jpg,https://i.ytimg.com/vi/32nlU7T2U34/maxresdefault.jpg
Eminem,Music To Be Murdered By,2020,Tone Deaf,https://cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500.jpg,https://www.okayplayer.com/media-library/eminem-fires-back-at-tiktok-cancellation-campaign-in-animated-tone-deaf-video.jpg?id=33160869&width=1200&height=600&coordinates=0%2C124%2C0%2C128
Eminem,Music To Be Murdered By,2020,Book of Rhymes (con DJ Premier),https://cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500.jpg,https://i.ytimg.com/vi/0WkIZwM5_vc/hq720.jpg?sqp=-oaymwE7CK4FEIIDSFryq4qpAy0IARUAAAAAGAElAADIQj0AgKJD8AEB-AH-CYAC0AWKAgwIABABGH8gEygyMA8=&rs=AOn4CLD9fBS9LintrkMHViWR0H0Gm4Q5wA
Eminem,Music To Be Murdered By,2020,Gnat,https://cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500.jpg,https://i.ytimg.com/vi/EosMazKaPbU/mqdefault.jpg
Eminem,Music To Be Murdered By,2020,Higher,https://cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500.jpg,https://i.ytimg.com/vi/jfobiCq0YUc/mqdefault.jpg
Eminem,Music To Be Murdered By,2020,Zeus (con White Gold),https://cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500.jpg,https://southpawers.com/wp-content/uploads/2020/12/white-gold-eminem-royce.jpg
Eminem,Music To Be Murdered By,2020,Discombobulated,https://cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500.jpg,https://i.pinimg.com/originals/2d/4d/21/2d4d215626733914efb01dc6a65d04d3.jpg
Drake,Views,2016,Hotline Bling,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRDErglWU2D6wOPX7kvflbT4Kp45AXuWf7AhRw6XF7_yP_33q-s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSgIRX9MvD7S1wgsrpdGaHKxP_gvNMkcaDmv-nIXMhViQ&s
Drake,Views,2016,One Dance (feat. WizKid & Kyla),https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRDErglWU2D6wOPX7kvflbT4Kp45AXuWf7AhRw6XF7_yP_33q-s,https://routenote.com/blog/wp-content/uploads/2016/10/screen-shot-2015-12-08-at-12-05-09-pm.png
Drake,Views,2016,Controlla,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRDErglWU2D6wOPX7kvflbT4Kp45AXuWf7AhRw6XF7_yP_33q-s,https://s2.dmcdn.net/v/Fm4Aj1NIk5czPg2h4/x1080
Drake,Views,2016,Too Good (feat. Rihanna),https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRDErglWU2D6wOPX7kvflbT4Kp45AXuWf7AhRw6XF7_yP_33q-s,https://cdn01.justjared.com/wp-content/uploads/headlines/2016/04/drake-rihanna-too-good-stream-lyrics.jpg
Drake,More Life,2017,Passionfruit,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRDErglWU2D6wOPX7kvflbT4Kp45AXuWf7AhRw6XF7_yP_33q-s,https://jenesaispop.com/wp-content/uploads/2016/10/drake-more-life.jpg
Drake,More Life,2017,Portland (feat. Quavo & Travis Scott),https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRDErglWU2D6wOPX7kvflbT4Kp45AXuWf7AhRw6XF7_yP_33q-s,https://i1.sndcdn.com/avatars-000111004820-tzrvo1-t240x240.jpg
Drake,More Life,2017,Fake Love,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRDErglWU2D6wOPX7kvflbT4Kp45AXuWf7AhRw6XF7_yP_33q-s,https://i.ytimg.com/vi/OR8ixrIXpuY/maxresdefault.jpg
Drake,Scorpion,2018,God’s Plan,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRDErglWU2D6wOPX7kvflbT4Kp45AXuWf7AhRw6XF7_yP_33q-s,https://i.ytimg.com/vi/xpVfcZ0ZcFM/maxresdefault.jpg
Drake,Scorpion,2018,Nice For What,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRDErglWU2D6wOPX7kvflbT4Kp45AXuWf7AhRw6XF7_yP_33q-s,https://media.pitchfork.com/photos/5ac838420ec8b60f71321831/2:1/w_2560%2Cc_limit/pjimage%2520(99).jpg
Drake,Scorpion,2018,In My Feelings,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRDErglWU2D6wOPX7kvflbT4Kp45AXuWf7AhRw6XF7_yP_33q-s,https://st1.latestly.com/wp-content/uploads/2018/08/drake-kiki-in-my-feelings-380x214.jpg
Drake,Sencillos y colaboraciones,2019,Money In The Grave (feat. Rick Ross),https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRDErglWU2D6wOPX7kvflbT4Kp45AXuWf7AhRw6XF7_yP_33q-s,https://i.ytimg.com/vi/_xaininqyEE/maxresdefault.jpg
Drake,Sencillos y colaboraciones,2019,Omertà,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRDErglWU2D6wOPX7kvflbT4Kp45AXuWf7AhRw6XF7_yP_33q-s,https://i1.sndcdn.com/artworks-000658653781-10xozq-t500x500.jpg
Drake,Dark Lane Demo Tapes,2020,Toosie Slide,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRDErglWU2D6wOPX7kvflbT4Kp45AXuWf7AhRw6XF7_yP_33q-s,https://i.pinimg.com/originals/0a/4d/f8/0a4df8be8e50d463404ade86b842a186.png
Drake,Dark Lane Demo Tapes,2020,Laugh Now Cry Later (feat. Lil Durk),https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRDErglWU2D6wOPX7kvflbT4Kp45AXuWf7AhRw6XF7_yP_33q-s,https://i.pinimg.com/736x/03/82/54/0382540c425cbffe911f6b70b9a2a4c8.jpg
Drake,Dark Lane Demo Tapes,2020,Chicago Freestyle (feat. Giveon),https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRDErglWU2D6wOPX7kvflbT4Kp45AXuWf7AhRw6XF7_yP_33q-s,https://i.ytimg.com/vi/qHNcZ-nCOJo/maxresdefault.jpg
Billie Eilish,Ocean Eyes,2016,Ocean Eyes,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/BillieEilishO2160622_%2819_of_45%29_%2852153214339%29_%28cropped_3%29.jpg/640px-BillieEilishO2160622_%2819_of_45%29_%2852153214339%29_%28cropped_3%29.jpg,https://cdnb.artstation.com/p/assets/images/images/014/393/627/large/brittni-jensen-billie.jpg?1543804365
Billie Eilish,Don’t Smile at Me (EP),2017,Bellyache,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/BillieEilishO2160622_%2819_of_45%29_%2852153214339%29_%28cropped_3%29.jpg/640px-BillieEilishO2160622_%2819_of_45%29_%2852153214339%29_%28cropped_3%29.jpg,https://i.ytimg.com/vi/gBRi6aZJGj4/maxresdefault.jpg
Billie Eilish,Don’t Smile at Me (EP),2017,Copycat,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/BillieEilishO2160622_%2819_of_45%29_%2852153214339%29_%28cropped_3%29.jpg/640px-BillieEilishO2160622_%2819_of_45%29_%2852153214339%29_%28cropped_3%29.jpg,https://i.ytimg.com/vi/ebb5AinKxWI/maxresdefault.jpg
Billie Eilish,"When We All Fall Asleep, Where Do We Go?",2019,Bad Guy,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/BillieEilishO2160622_%2819_of_45%29_%2852153214339%29_%28cropped_3%29.jpg/640px-BillieEilishO2160622_%2819_of_45%29_%2852153214339%29_%28cropped_3%29.jpg,https://www.rollingstone.com/wp-content/uploads/2019/03/billie-eilish-bad-guy-video.jpg
Billie Eilish,"When We All Fall Asleep, Where Do We Go?",2019,Bury a Friend,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/BillieEilishO2160622_%2819_of_45%29_%2852153214339%29_%28cropped_3%29.jpg/640px-BillieEilishO2160622_%2819_of_45%29_%2852153214339%29_%28cropped_3%29.jpg,https://i1.sndcdn.com/artworks-000510945771-p4xnkn-t500x500.jpg
Billie Eilish,"When We All Fall Asleep, Where Do We Go?",2019,When the Party’s Over,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/BillieEilishO2160622_%2819_of_45%29_%2852153214339%29_%28cropped_3%29.jpg/640px-BillieEilishO2160622_%2819_of_45%29_%2852153214339%29_%28cropped_3%29.jpg,https://i.ytimg.com/vi/pbMwTqkKSps/maxresdefault.jpg
Billie Eilish,Sencillos,2020,Everything I Wanted,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/BillieEilishO2160622_%2819_of_45%29_%2852153214339%29_%28cropped_3%29.jpg/640px-BillieEilishO2160622_%2819_of_45%29_%2852153214339%29_%28cropped_3%29.jpg,https://i.ytimg.com/vi/qCTMq7xvdXU/maxresdefault.jpg
Billie Eilish,Sencillos,2020,My Future,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/BillieEilishO2160622_%2819_of_45%29_%2852153214339%29_%28cropped_3%29.jpg/640px-BillieEilishO2160622_%2819_of_45%29_%2852153214339%29_%28cropped_3%29.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTCdddQikAkEtD1lZCiFXEyzWvL7qES5iQnX9-n9rl3Dg&s
Billie Eilish,Sencillos,2020,Therefore I Am,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/BillieEilishO2160622_%2819_of_45%29_%2852153214339%29_%28cropped_3%29.jpg/640px-BillieEilishO2160622_%2819_of_45%29_%2852153214339%29_%28cropped_3%29.jpg,https://i1.sndcdn.com/artworks-ADvLTzF6Zt1Ry3yK-ontAUQ-t500x500.jpg
Taylor Swift,Reputation,2017,Look What You Made Me Do,https://imageio.forbes.com/specials-images/imageserve/653fcd49893eb27774ba7ecc/65th-GRAMMY-Awards---Arrivals/960x0.jpg?format=jpg&width=960,https://i.ytimg.com/vi/3tmd-ClpJxA/sddefault.jpg
Taylor Swift,Reputation,2017,Ready For It?,https://imageio.forbes.com/specials-images/imageserve/653fcd49893eb27774ba7ecc/65th-GRAMMY-Awards---Arrivals/960x0.jpg?format=jpg&width=960,https://media.revistagq.com/photos/5ca5f9f633e75177b1153818/master/w_1600%2Cc_limit/taylorswift_1691.png
Taylor Swift,Reputation,2017,End Game (feat. Ed Sheeran and Future),https://imageio.forbes.com/specials-images/imageserve/653fcd49893eb27774ba7ecc/65th-GRAMMY-Awards---Arrivals/960x0.jpg?format=jpg&width=960,https://i.ytimg.com/vi/dfnCAmr569k/maxresdefault.jpg
Taylor Swift,Reputation,2017,I Did Something Bad,https://imageio.forbes.com/specials-images/imageserve/653fcd49893eb27774ba7ecc/65th-GRAMMY-Awards---Arrivals/960x0.jpg?format=jpg&width=960,https://www.billboard.com/wp-content/uploads/media/02-taylor-swift-ama-2018-show-billboard-1548.jpg
Taylor Swift,Lover,2019,ME! (feat. Brendon Urie),https://imageio.forbes.com/specials-images/imageserve/653fcd49893eb27774ba7ecc/65th-GRAMMY-Awards---Arrivals/960x0.jpg?format=jpg&width=960,https://i.ytimg.com/vi/bqOfdv9i4sE/maxresdefault.jpg
Taylor Swift,Lover,2019,You Need To Calm Down,https://imageio.forbes.com/specials-images/imageserve/653fcd49893eb27774ba7ecc/65th-GRAMMY-Awards---Arrivals/960x0.jpg?format=jpg&width=960,https://static.independent.co.uk/s3fs-public/thumbnails/image/2019/06/17/15/tswift3.png
Taylor Swift,Lover,2019,The Man,https://imageio.forbes.com/specials-images/imageserve/653fcd49893eb27774ba7ecc/65th-GRAMMY-Awards---Arrivals/960x0.jpg?format=jpg&width=960,https://i.ytimg.com/vi/AqAJLh9wuZ0/maxresdefault.jpg
Taylor Swift,Folkplore,2020,The 1,https://imageio.forbes.com/specials-images/imageserve/653fcd49893eb27774ba7ecc/65th-GRAMMY-Awards---Arrivals/960x0.jpg?format=jpg&width=960,https://i.ytimg.com/vi/klQMSfx8Cho/mqdefault.jpg
Taylor Swift,Folkplore,2020,Cardigan,https://imageio.forbes.com/specials-images/imageserve/653fcd49893eb27774ba7ecc/65th-GRAMMY-Awards---Arrivals/960x0.jpg?format=jpg&width=960,https://i.ytimg.com/vi/K-a8s8OLBSE/maxresdefault.jpg
Taylor Swift,Folkplore,2020,Exile (feat. Bon Iver),https://imageio.forbes.com/specials-images/imageserve/653fcd49893eb27774ba7ecc/65th-GRAMMY-Awards---Arrivals/960x0.jpg?format=jpg&width=960,https://www.nme.com/wp-content/uploads/2022/10/Taylor-Swift-Bon-Iver-Performance.jpg
Taylor Swift,Folkplore,2020,August,https://imageio.forbes.com/specials-images/imageserve/653fcd49893eb27774ba7ecc/65th-GRAMMY-Awards---Arrivals/960x0.jpg?format=jpg&width=960,https://miro.medium.com/v2/resize:fit:5000/1*cBBvkT6H66gabtay3CnI3w.jpeg
Taylor Swift,Evermore,2020,Willow,https://imageio.forbes.com/specials-images/imageserve/653fcd49893eb27774ba7ecc/65th-GRAMMY-Awards---Arrivals/960x0.jpg?format=jpg&width=960,https://64.media.tumblr.com/7d0a693d6b1e2450f308b079274ce199/39dd6f98cd4605a4-12/s1280x1920/5e4a5cc34c49dffe88781f1946c93cb238ae898f.jpg
Taylor Swift,Evermore,2020,Champagne Problems,https://imageio.forbes.com/specials-images/imageserve/653fcd49893eb27774ba7ecc/65th-GRAMMY-Awards---Arrivals/960x0.jpg?format=jpg&width=960,https://qph.cf2.quoracdn.net/main-qimg-e8fd46571feec893c4ce82fc1e021cb7
Taylor Swift,Evermore,2020,Gold Rush,https://imageio.forbes.com/specials-images/imageserve/653fcd49893eb27774ba7ecc/65th-GRAMMY-Awards---Arrivals/960x0.jpg?format=jpg&width=960,https://www.thelist.com/img/gallery/what-gold-rush-lyrics-from-taylor-swift-really-mean/intro-1607674716.jpg
BTS,WINGS,2016,Fire,https://people.com/thmb/mKWX8xTZIEL4_XHgMBbAOsaB-fc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():focal(979x595:981x597)/bts-members-1-03a9c478f1794c448bcb5f74bf94812c.jpg,https://i1.sndcdn.com/artworks-000516401223-km9dun-t500x500.jpg
BTS,WINGS,2016,Blood Sweat & Tears,https://people.com/thmb/mKWX8xTZIEL4_XHgMBbAOsaB-fc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():focal(979x595:981x597)/bts-members-1-03a9c478f1794c448bcb5f74bf94812c.jpg,https://i.ytimg.com/vi/hmE9f-TEutc/maxresdefault.jpg
BTS,You Never Walk Alone,2017,Spring Day,https://people.com/thmb/mKWX8xTZIEL4_XHgMBbAOsaB-fc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():focal(979x595:981x597)/bts-members-1-03a9c478f1794c448bcb5f74bf94812c.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTBFgd20yCxzeSfwkmBcXxUcRhcatanu3H9c8g7H8NqDQ&s
BTS,Love Yourself 'Tear',2018,Fake Love,https://people.com/thmb/mKWX8xTZIEL4_XHgMBbAOsaB-fc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():focal(979x595:981x597)/bts-members-1-03a9c478f1794c448bcb5f74bf94812c.jpg,https://0.soompi.io/wp-content/uploads/sites/8/2018/05/19231239/BTS-Fake-Love3-1-e1526743817629.jpg
BTS,Love Yourself 'Tear',2018,Airplane pt.2,https://people.com/thmb/mKWX8xTZIEL4_XHgMBbAOsaB-fc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():focal(979x595:981x597)/bts-members-1-03a9c478f1794c448bcb5f74bf94812c.jpg,https://www.billboard.com/wp-content/uploads/media/BTS-airplane-pt-2-japanese-ver-MV-vid-2018-billboard-1548.jpg
BTS,Map of the Soul: Persona,2019,Boy With Luv (feat. Halsey),https://people.com/thmb/mKWX8xTZIEL4_XHgMBbAOsaB-fc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():focal(979x595:981x597)/bts-members-1-03a9c478f1794c448bcb5f74bf94812c.jpg,https://hips.hearstapps.com/hmg-prod/images/bts-halsey-1555452116.jpg
BTS,Map of the Soul: 7,2020,ON,https://people.com/thmb/mKWX8xTZIEL4_XHgMBbAOsaB-fc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():focal(979x595:981x597)/bts-members-1-03a9c478f1794c448bcb5f74bf94812c.jpg,https://www.billboard.com/wp-content/uploads/media/bts-on-kinetic-film-vid-2020-billboard-1548.jpg
BTS,Map of the Soul: 7,2020,Filter,https://people.com/thmb/mKWX8xTZIEL4_XHgMBbAOsaB-fc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():focal(979x595:981x597)/bts-members-1-03a9c478f1794c448bcb5f74bf94812c.jpg,https://e.radio-grpp.io/normal/2021/11/29/071607_1181255.jpg
